scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,101,0.0,-1,0.020172069844784382,0.0037632929218680035,0.0016558915376663208,2.2417963484194154,0.005,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,102,0.0,-1,0.017743551942128115,0.004373970764896108,0.0018607378005981445,4.581277988549285,0.0125,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,103,0.0,-1,0.07258346482094513,0.007534096293427326,0.003636658191680908,3.4899426660700787,0.0025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,104,0.0,-1,0.06434782001817736,0.006415220515020651,0.006475567817687988,8.043599845847032,0.025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,105,0.0,-1,0.04741246694120627,0.008577439341878082,0.002423463389277458,4.415312779723553,0.005,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,106,0.0,-1,0.06397628407537898,0.0013290204834997838,0.0006720521487295628,11.36065609632368,0.0325,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,107,0.0,-1,0.01746392341857855,0.004164149243108652,0.0019842982292175293,6.181325394108816,0.0175,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,108,0.0,-1,0.04338483723149118,0.006212678079688807,0.00643404945731163,0.6380999197868895,0.0,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,109,0.0,-1,0.033540007965646976,0.009622585603300437,0.0038428325206041336,9.158304855835201,0.025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,110,0.0,-1,0.040631967145564066,0.008792725414681582,0.002994135022163391,2.9934134851790044,0.0075,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,111,0.0,-1,0.07400902441162027,0.007921957152171267,0.006269433535635471,8.49006107720252,0.0225,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,112,0.0,-1,0.07100545506709946,0.00903537930679266,0.008251965045928955,9.562475357926564,0.025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,113,0.0,-1,0.055071837271479324,0.010445828009166835,0.01787656545639038,12.879529416118888,0.035,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,114,0.0,-1,0.037416790853969054,0.005136174736199556,0.0018807724118232727,5.463594279579923,0.01,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,115,0.0,-1,0.0530506808597963,0.0070877277729227955,0.010339170694351196,9.180613391079689,0.025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,116,0.0,-1,0.02111919743786175,0.005939517676094432,0.007674038410186768,5.443686502698499,0.0125,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,117,0.0,-1,0.02453866187411075,0.005987791427882549,0.006664827466011047,7.915503078103007,0.0225,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,118,0.0,-1,0.05495099063303882,0.008410633064484523,0.0038311704993247986,2.237783324599669,0.0025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,119,0.0,-1,0.045889023488584105,0.003013958717569893,0.005244642496109009,12.382834742416167,0.035,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,100,0.0,-1,0.022437051052215228,0.0162954175453863,0.02680516242980957,6.8201264212239625,0.02,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,101,0.0,-1,0.0217541881466512,0.004174860717475783,0.00826516654342413,2.7065472424981674,0.0075,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,102,0.0,-1,0.018973512224719883,0.014151899379758555,0.027431488037109375,5.102859184064835,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,103,0.0,-1,0.06827501725633446,0.0070778395934605305,0.018348664045333862,5.817182319854373,0.0125,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,104,0.0,-1,0.0694152657662581,0.00804731005768257,0.010402485728263855,10.204376904465933,0.03,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,105,0.0,-1,0.05043093081531196,0.007677710810561239,0.004526562988758087,5.127043746219444,0.01,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_123,123,106,0.0,-1,0.05643009824253671,0.003277326061643292,0.005098252557218075,10.661542681471152,0.03,
